"ID(String)","Name(String)"
9P,Total Clock Hours
9R,Enrollees
9S,Total Days Submitted
9V,Total Days Approved
A0,Severely Mentally Retarded Individuals
A1,Acceptable Unserviceable Quantity
A2,Optimistic Duration
A3,Most Likely Duration
A4,Pessimistic Duration
A5,Adjusted Quantity
A6,Accidents
A7,Years in School
A8,Number of Dependents
A9,Years on Job
AA,Unacknowledged Quantity
AB,Urgent Delivery Quantity
AC,Voice Storage Quantity
AD,Maintenance Units
AE,Minimum Average Time Requirement (MATR) Units
AF,Wide Area Telephone Service (WATS)/800 Service Units
AG,Number of End Users
AH,Number of Message Recipients
AI,Number of Operator Credits
AJ,Daily Adjustments
AK,Years in this Line of Work/Profession
AL,Area per Units
AM,Trainable Mentally Retarded Individuals
AN,Age at Death
AO,Verified Receipts
AP,Order Quantity Multiple
AQ,Contribution Total
AR,Loan Repayment Total
AS,Participant Total
AT,Actual
AU,Cumulative Actual
AV,Budget
AW,Cumulative Budget
AX,Number of Insured Lives
AY,Forecast
AZ,Forecast at Complete
B1,Number of Mortgagors
B2,Mortgage Pool Count
B3,Requested Amount
B4,Approved Amount
B5,Additional Amount
B6,Pre-op Days
B7,Post-op Days
B8,Average
B9,Period Beginning Imbalance Quantity
BA,Due-In
BB,Contractor Cumulative to Date
BC,Budget At Complete
BD,Contractor at Complete
BE,Subcontractor Cumulative to Date
BF,Age Modifying Units
BG,Subcontractor at Complete
BH,Book Order Quantity
BI,Book Inventory
BJ,Bedroom Count
BK,Bathroom Count
BL,Betterment Hours
BM,Depreciation Hours
BN,System Adjusted Hours
BO,User Adjusted Hours
BP,Period Ending Imbalance Quantity
BQ,Backorder Quantity
BR,Blood Record
BS,Cumulative Beginning Imbalance Quantity
BT,Cumulative Current Period Imbalance Quantity
BU,Cumulative Prior Period Adjustment
BV,Cumulative Ending Imbalance Quantity
BW,Birth Weight
BX,Current Period Imbalance Quantity
BY,Production Delivery Quantity
BZ,Entitlement Quantity
C0,Creditors
C1,Payment Experiences in Last 12 Months
C2,Payment Experiences in Last 3 Months
C3,Area Damaged
C4,Other Unlisted Stockholders
C5,Other Unlisted Participants
CA,Covered - Actual
CB,Closing Statement Balance
CC,Current Days on Market
CD,Co-insured - Actual
CE,Covered - Estimated
CF,Co-insured - Estimated
CG,Cumulative Gas Volume
