"ID(String)","Name(String)"
HL,"Accreditation
HM,National Center for Education Statistics Accreditation or Licensing Type
HO,Home Infusion EDI Coalition (HIEC) Product/Service Code
HS,Service Contract Act Occupation Category Code
IC,Collision Industry Electronic Commerce Association (CIECA) - Inspection
ID,Identity Disclosure Code
IF,Investment Fund Type
IQ,IRS Qualification Code
IT,Initial Treatment Code
J0,Summons Type Code
J1,Judicial Hearing Type Code
J2,Judicial Order Type Code
J3,Judicial Sentence Type Code
J4,Court Disposition Code
J5,Court Appearance Type Code
J6,Court Pleading Type Code
J7,Defendant Plea Type Code
J8,Trial Type Code
J9,Court Case Status Code
JA,Physical Characteristics Code
JB,Weight or Fragility Code
JC,Preservation Material Code
JD,Quantity per Unit Pack Code
JE,Preservation Data Code
JF,Packing Requirement Level A Code
JG,Packing Requirement Level B Code
JH,Packing Requirement Level C Code
JI,Intermediate Container Code
JK,Intermediate Container Quantity Code
JL,Special Marking Code
JM,Type and Cause Code
JN,Mission Impact Statement Code
JO,International Standard Designation System for Teeth and Areas of the Oral Cavity
JP,Universal National Tooth Designation System
KA,Deficiency Cause
KB,Discrepancy
KC,Preventive Measure
KD,Contractor Alert List Reason
KE,Quality Alert List Reason
KF,Contractor Alert List Status
KG,Nature of Buy
KH,Type of Procurement
KI,Representative Buy Indicator
KJ,Assured Delivery Indicator
KK,Award Source
KL,Termination
KM,Patient Event Problem Code
KO,Method Evaluation Code
KP,Result Evaluation Code
KQ,Conclusion Evaluation Code
KS,Device Event Problem Code
KT,Dose Form Code
KU,Route Code
KW,Report Source Code
KZ,Adverse Event Code
LA,Contract
LB,Contractor Review List Status
LC,Laboratory Test Condition Code
LD,Collision Industry Electronic Commerce Association (CIECA) - Loss Category
LE,Life/Annuity Service Features
LF,Life/Annuity Product Code
LG,Location Code
LH,Basis of Jurisdiction Code
LJ,Principal Party Citizenship Code
LK,Nature of Suit Code
LM,Case Origin Code
LN,Line of business code
LO,Letter of Recommendation Rating Category
LP,Deficiency Indicator
LQ,Delinquency Indicator
LR,Test Results Code
LS,Loss Severity Code
LT,Laboratory Results Identification Code
LZ,War Reserve Material Requirement Code
MA,Multi-Media Object
MB,Service Contract Act Occupation Classification Code
MC,Manual Class Code
ME,Device Evaluation Code
MI,Minority Indicator
MJ,Drug Status Code
MK,Drug Status Adverse Event Code
ML,Lot Type Code
MN,Post Market Study Status Code
MS,Meter Status
MT,Meter Type
NA,Plant Clearance Office Code
NB,Inventory Type Code
NC,Property Record Status Code
ND,Control Unit Design Code
NE,Direct Numerical Control System Code
NF,Type Numerical Control System Code
NH,Property Source Code
NI,Nature of Injury Code
NJ,Uniform Freight Classification (UFC) Code
NK,National Motor Freight Classification (NMFC) Code
NP,Special Category Code
NR,Excess Material Disposition Code
NS,Hazardous Material Code
NT,Type of Cargo Code
O1,Office of Worker's Compensation Programs (OWCP) Source of Injury Code
O2,Office of Worker's Compensation Programs (OWCP) Nature of Injury Code
O3,Office of Worker's Compensation Programs (OWCP) Part of Body Code
O4,Office of Worker's Compensation Programs (OWCP) Occupation Code
OC,Occupation Code
PA,Prior Damage Location Code
PB,Part of Body Code
PC,Collision Industry Electronic Commerce Association (CIECA) - Profile
PD,Professional Designation
PI,Collision Industry Electronic Commerce Association (CIECA) - Points of Impact
PL,Priority Lookup
PR,International Classification of Diseases Clinical Modification (ICD-9-CM) Patient's Reason for Visit
PS,Professional Status Code
PT,Price Tier
QA,Response Status Code
QB,Business Entity Filing Report Type Code
QC,Business Entity Filing Detail Code
QE,Domestic Line of Business Code
QF,Foreign Line of Business Code
QG,Business Entity Filing Status Code
QH,Business Entity Filing Securities Information Code
QI,Business Entity Financial Information Code
QJ,Business Entity Status Code
QK,Business Entity Filing Location Code
QS,Query Status
QT,Quantity Type Indicator
R1,Upstream Rank (Priority)
R2,Receipt Rank (Priority)
R3,Delivery Rank (Priority)
R4,Downstream Rank (Priority)
RA,Religious Affiliation Code
RC,Requirement Code
RD,Property Ownership Type Code
RE,Property Type Code
RI,Residency Indicator
RQ,Testing Service Question Code List
RT,Request Type
RX,National Council for Prescription Drug Programs Reject/Payment Codes
SA,Student Activity Type Code
SB,Student Award Code
SC,Source
SD,International Classification of Diseases Clinical Modification (ICD-9-CM) Secondary Diagnosis
SE,Sound Code
SF,Run Type
SG,Source of Deposit Code
SH,Source of Lead Code
SI,SIC (Standard Industrial Classification)
SJ,Source of Injury Code
SL,Secondary Source of Injury
SO,Solicitation Cancellation Reason
SP,Standard Occupation Classification Code
SR,Statistical Administrative Information Code
SS,System Status
ST,Special Marketing Type Code
TB,Association for Financial Professionals Service Code and Bank Service Code
TC,Treatment Codes
TD,International Classification of Diseases Clinical Modification (ICD-9-CM) Tertiary Diagnosis
TE,Association for Financial Professionals Service Code
TF,Title Exception and Requirement Code List
TG,Title Document Code List
TL,Tap Location
TP,Tap Type
TQ,Systemized Nomenclature of Dentistry (SNODENT)
TR,Report Code
TT,Natural Gas Transaction Type
TX,Follow-up Code
TY,Reportable Event Code
UR,Event Reappearance Code
US,Event Abatement Code
UT,Centers for Medicare and Medicaid Services (CMS) Durable Medical Equipment Regional Carrier (DMERC) Certificate of Medical Necessity (CMN) Forms
UU,Unit Code
VP,Collision Industry Electronic Commerce Association (CIECA) - Vehicle Line Item Category Code
XD,Export Declaration
ZZ,Mutually Defined
100,Freddie Mac (Federal Home Loan Mortgage Corporation) Special Character Code
101,Fannie Mae (Federal National Mortgage Association) Special Feature Code
102,Mortgage Index Source Code
103,Fannie Mae (Federal National Mortgage Association) Remittance Programs
104,Freddie Mac (Federal Home Loan Mortgage Corporation) Remittance Programs
105,Freddie Mac (Federal Home Loan Mortgage Corporation) Mortgage Insurance Code
106,Fannie Mae (Federal National Mortgage Association) Pool Feature Code
107,Fannie Mae (Federal National Mortgage Association) Mortgage Insurance Code
108,Testing Statistical Category Code List
109,Testing Demographic Category Code List
AAA,"SNOMED
AAD,Asset Type
AAE,Current Asset Type
AAF,Current Liability Type
AAG,Dun and Bradstreet Canada's 8 digit Standard Industrial Classification Code
AAH,Financial Item Allocation Code
AAI,Financial Item Attributed Code
AAJ,Financial Item Reclassification Code
AAK,Functional Area
AAL,Hobby Code
